DATE,PHARMACY,LOCATION,DRUG,BRAND,PRICE,QUANTITY,TOTAL COST ,AVG. PRICE,70% AVG. PRICE,PRICE RISK,PRICE RISK SCORE,AVG. QTY,1.5 OF AVG. QTY,QTY RISK,QTY_RISK_SCORE,SUPPLIER_NAME,BATCH_NUMBER,EXPIRY_DATE,DAYS_TO_EXPIRY,EXPIRY_RISK,EXPIRY_RISK_SCORE,SALES_CHANNEL,DRUG_FORM,Column2
27-04-24,Blair Plc,Urban,Chloroquine,PharmaTrust,4307.8,96,413548.8,2656.70,1859.69,Low Risk,0,51,77,High Risk,1,"Woods, Calhoun And Schmidt",DL-28532-EW,18-02-26,662.00,Low Risk,0,Mobile Van,Syrup,2
27-04-24,Carlson-Cruz,Rural,Azithromycin,MediPlus,277.07,80,22165.6,2628.19,1839.74,High Risk,1,50,75,High Risk,1,Lee-Davis,JP-84937-DB,06-10-25,527.00,Low Risk,0,In-Store,Tablet,1
27-04-24,Davis And Sons,Urban,Amlodipine,BioCare,2405.51,18,43299.18,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,Lee-Davis,QQ-53844-TY,02-04-27,1070.00,Low Risk,0,Market Stall,Injection,3
27-04-24,Davis And Sons,Urban,Coartem,MediPlus,1687.98,54,91150.92,2523.47,1766.43,High Risk,1,51,77,Low Risk,0,"Brooks, Lam And Hayes",JT-03765-VQ,10-07-26,804.00,Low Risk,0,Mobile Van,Injection,3
27-04-24,Doyle Ltd,Rural,Ciprofloxacin,MediPlus,3276.51,96,314544.96,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,"West, Henderson And Ramirez",UP-24748-CN,06-06-26,770.00,Low Risk,0,In-Store,Injection,3
27-04-24,Doyle Ltd,Urban,Ibuprofen,BioCare,4092.81,32,130969.92,2543.53,1780.47,Low Risk,0,49,73,Low Risk,0,Baxter Inc,FQ-90181-TW,16-07-26,810.00,Low Risk,0,Market Stall,Capsule,4
27-04-24,Dudley Group,Rural,Ibuprofen,MediPlus,4620.4,81,374252.4,2543.53,1780.47,Low Risk,0,49,73,High Risk,1,"West, Henderson And Ramirez",CB-77513-EA,01-08-26,826.00,Low Risk,0,In-Store,Capsule,4
27-04-24,"Dyer, Potter And Mack",Urban,Amoxicillin,MediPlus,4600.86,23,105819.78,2624.80,1837.36,Low Risk,0,51,76,Low Risk,0,"Stanley, Tucker And Lee",YR-83195-JT,27-10-26,913.00,Low Risk,0,In-Store,Syrup,2
27-04-24,Frazier Inc,Urban,Amlodipine,HealthFirst,4729.03,100,472903,2698.49,1888.95,Low Risk,0,51,77,High Risk,1,Hancock Inc,KF-37548-RX,02-11-26,919.00,Low Risk,0,Market Stall,Capsule,4
27-04-24,Frazier Inc,Urban,Amlodipine,HealthFirst,3805.51,94,357717.94,2698.49,1888.95,Low Risk,0,51,77,High Risk,1,"Woods, Calhoun And Schmidt",ZA-32569-RC,10-12-26,957.00,Low Risk,0,Mobile Van,Injection,3
27-04-24,Frazier Inc,Urban,Chloroquine,PharmaTrust,1388.76,58,80548.08,2656.70,1859.69,High Risk,1,51,77,Low Risk,0,"Brown, Valdez And Lucas",MN-99707-NX,02-02-26,646.00,Low Risk,0,Mobile Van,Injection,3
27-04-24,Garcia-James,Rural,Amlodipine,PharmaTrust,2611.6,72,188035.2,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,House-Glover,RO-62833-OW,17-01-27,995.00,Low Risk,0,In-Store,Tablet,1
27-04-24,"Harris, Collins And Carney",Rural,Coartem,MediPlus,3945.73,98,386681.54,2523.47,1766.43,Low Risk,0,51,77,High Risk,1,Morton-Chase,BH-81803-MN,20-05-26,753.00,Low Risk,0,Mobile Van,Injection,3
27-04-24,"Mcclain, Miller And Henderson",Rural,Coartem,HealthFirst,849.3,20,16986,2523.47,1766.43,High Risk,1,51,77,Low Risk,0,Walker Llc,HB-34030-NX,01-04-27,1069.00,Low Risk,0,Mobile Van,Tablet,1
27-04-24,"Mcclure, Ward And Lee",Urban,Metformin,PharmaTrust,1106.93,91,100730.63,2644.11,1850.87,High Risk,1,52,77,High Risk,1,Jones Inc,UO-84896-PN,12-11-25,564.00,Low Risk,0,Market Stall,Tablet,1
27-04-24,Morales-Jones,Rural,Chloroquine,BioCare,4135.31,89,368042.59,2656.70,1859.69,Low Risk,0,51,77,High Risk,1,"Daniels, Adkins And Brown",BZ-85764-BN,16-02-27,1025.00,Low Risk,0,Market Stall,Injection,3
27-04-24,Rodriguez Llc,Urban,Paracetamol,PharmaTrust,1225.99,52,63751.48,2636.16,1845.31,High Risk,1,49,74,Low Risk,0,Jones Inc,DD-16328-JP,08-04-27,1076.00,Low Risk,0,In-Store,Syrup,2
27-04-24,Rodriguez Llc,Urban,Ibuprofen,PharmaTrust,4079.69,82,334534.58,2543.53,1780.47,Low Risk,0,49,73,High Risk,1,Hancock Inc,ZP-28265-XB,16-01-26,629.00,Low Risk,0,Market Stall,Syrup,2
27-04-24,"Rodriguez, Figueroa And Sanchez",Urban,Amoxicillin,HealthFirst,806.38,47,37899.86,2624.80,1837.36,High Risk,1,51,76,Low Risk,0,Morton-Chase,HJ-45238-XW,04-03-26,676.00,Low Risk,0,In-Store,Tablet,1
27-04-24,"Ross, Robinson And Bright",Urban,Chloroquine,BioCare,1712.28,86,147256.08,2656.70,1859.69,High Risk,1,51,77,High Risk,1,"Hensley, Powell And David",UI-53833-XZ,20-07-26,814.00,Low Risk,0,In-Store,Injection,3
27-04-24,"Walter, Edwards And Rios",Rural,Metformin,BioCare,2349.37,38,89276.06,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Jones-Young,HJ-23872-BF,05-11-25,557.00,Low Risk,0,Mobile Van,Syrup,2
27-04-24,"Watts, Robinson And Nguyen",Rural,Ciprofloxacin,MediPlus,4668.9,76,354836.4,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,Henderson-Bernard,XZ-82341-AM,10-10-26,896.00,Low Risk,0,In-Store,Syrup,2
27-04-24,Wilkerson-Day,Rural,Amlodipine,BioCare,4802.66,54,259343.64,2698.49,1888.95,Low Risk,0,51,77,Low Risk,0,Lee-Davis,IX-53764-VZ,19-05-25,387.00,Low Risk,0,In-Store,Capsule,4
28-04-24,"Adams, Zuniga And Wong",Rural,Chloroquine,MediPlus,1208.77,17,20549.09,2656.70,1859.69,High Risk,1,51,77,Low Risk,0,Jones-Young,ZM-16357-GP,06-03-26,677.00,Low Risk,0,Market Stall,Tablet,1
28-04-24,Arnold Ltd,Urban,Amlodipine,HealthFirst,3494.33,82,286535.06,2698.49,1888.95,Low Risk,0,51,77,High Risk,1,"Daniels, Adkins And Brown",OQ-72290-MZ,19-12-25,600.00,Low Risk,0,Mobile Van,Injection,3
28-04-24,Arnold Ltd,Rural,Amoxicillin,PharmaTrust,4652.04,33,153517.32,2624.80,1837.36,Low Risk,0,51,76,Low Risk,0,Gomez-Jenkins,ML-11939-QW,18-05-25,385.00,Low Risk,0,In-Store,Syrup,2
28-04-24,Arnold Ltd,Urban,Ciprofloxacin,MediPlus,2565.7,23,59011.1,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,Powell Llc,WN-75933-PL,04-12-25,585.00,Low Risk,0,In-Store,Capsule,4
28-04-24,"Arroyo, Miller And Tucker",Rural,Chloroquine,HealthFirst,923.28,41,37854.48,2656.70,1859.69,High Risk,1,51,77,Low Risk,0,Baxter Inc,OL-35624-RX,04-01-26,616.00,Low Risk,0,In-Store,Syrup,2
28-04-24,"Baker, Mason And White",Rural,Ciprofloxacin,HealthFirst,4811.51,30,144345.3,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,"West, Henderson And Ramirez",BD-57795-GF,01-11-25,552.00,Low Risk,0,In-Store,Capsule,4
28-04-24,Blake And Sons,Urban,Ibuprofen,HealthFirst,2548.32,9,22934.88,2543.53,1780.47,Low Risk,0,49,73,Low Risk,0,"Daniels, Adkins And Brown",DX-98624-JD,26-04-25,363.00,Low Risk,0,Market Stall,Injection,3
28-04-24,Davis And Sons,Urban,Chloroquine,MediPlus,4574.89,47,215019.83,2656.70,1859.69,Low Risk,0,51,77,Low Risk,0,Lee-Davis,WE-40947-HY,07-09-25,497.00,Low Risk,0,Mobile Van,Injection,3
28-04-24,Davis And Sons,Urban,Ibuprofen,PharmaTrust,1902.94,27,51379.38,2543.53,1780.47,Low Risk,0,49,73,Low Risk,0,Hancock Inc,YT-69882-IB,01-08-25,460.00,Low Risk,0,Market Stall,Injection,3
28-04-24,Gray-Mayo,Urban,Paracetamol,HealthFirst,2647.36,36,95304.96,2636.16,1845.31,Low Risk,0,49,74,Low Risk,0,Gomez-Jenkins,CD-96986-ST,16-05-26,748.00,Low Risk,0,In-Store,Syrup,2
28-04-24,Harrell Llc,Urban,Paracetamol,HealthFirst,1167.64,53,61884.92,2636.16,1845.31,High Risk,1,49,74,Low Risk,0,"Hensley, Powell And David",DV-53567-EG,01-08-26,825.00,Low Risk,0,Market Stall,Capsule,4
28-04-24,Harrell Llc,Rural,Ciprofloxacin,HealthFirst,2154.07,44,94779.08,2610.77,1827.54,Low Risk,0,51,76,Low Risk,0,Williams Plc,MJ-75016-FO,12-05-25,379.00,Low Risk,0,Mobile Van,Injection,3
28-04-24,"Harris, Collins And Carney",Rural,Artemisinin,BioCare,3437.56,90,309380.4,2588.57,1812.00,Low Risk,0,52,78,High Risk,1,House-Glover,NV-31207-AT,27-12-26,973.00,Low Risk,0,Mobile Van,Tablet,1
28-04-24,"Henderson, Ramirez And Lewis",Rural,Artemisinin,PharmaTrust,287.21,24,6893.04,2588.57,1812.00,High Risk,1,52,78,Low Risk,0,Powell Llc,DQ-85112-GP,30-10-26,915.00,Low Risk,0,Mobile Van,Syrup,2
28-04-24,Hickman Ltd,Urban,Metformin,BioCare,4051.24,69,279535.56,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Jones Inc,OH-84886-VX,13-03-26,684.00,Low Risk,0,Market Stall,Tablet,1
28-04-24,"Hoffman, Baker And Richards",Rural,Ciprofloxacin,MediPlus,1078.64,70,75504.8,2610.77,1827.54,High Risk,1,51,76,Low Risk,0,Novak Plc,MA-78616-DH,28-12-25,609.00,Low Risk,0,Mobile Van,Syrup,2
28-04-24,James Group,Rural,Metformin,FarmaTrust,2471.57,98,242213.86,2644.11,1850.87,Low Risk,0,52,77,High Risk,1,Powell Llc,AU-41691-OC,18-08-25,477.00,Low Risk,0,Market Stall,Syrup,2
28-04-24,James Group,Urban,Metformin,PharmaTrust,2364.3,53,125307.9,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,Wright And Sons,YV-01917-NW,08-09-25,498.00,Low Risk,0,In-Store,Injection,3
28-04-24,"Mcclain, Miller And Henderson",Urban,Ibuprofen,PharmaTrust,2247.69,39,87659.91,2543.53,1780.47,Low Risk,0,49,73,Low Risk,0,Jones-Young,HI-69733-GE,25-05-26,757.00,Low Risk,0,Market Stall,Capsule,4
28-04-24,Perez Inc,Urban,Amoxicillin,MediPlus,836.96,29,24271.84,2624.80,1837.36,High Risk,1,51,76,Low Risk,0,Williams Plc,EO-51627-YF,14-11-26,930.00,Low Risk,0,Market-Stall,Capsule,4
28-04-24,Rodriguez Llc,Urban,Amoxicillin,HealthFirst,1877.55,45,84489.75,2624.80,1837.36,Low Risk,0,51,76,Low Risk,0,"West, Henderson And Ramirez",FW-99414-MN,18-06-26,781.00,Low Risk,0,Mobile Van,Syrup,2
28-04-24,"Rodriguez, Figueroa And Sanchez",Urban,Chloroquine,HealthFirst,2972.16,71,211023.36,2656.70,1859.69,Low Risk,0,51,77,Low Risk,0,Morton-Chase,XL-42018-DX,22-01-26,634.00,Low Risk,0,Market Stall,Injection,3
28-04-24,"Romero, Gonzalez And Brooks",Urban,Amoxicillin,PharmaTrust,1832.88,41,75148.08,2624.80,1837.36,High Risk,1,51,76,Low Risk,0,Novak And Sons,YE-73827-ED,10-04-27,1077.00,Low Risk,0,In-Store,Tablet,1
28-04-24,"Ross, Robinson And Bright",Urban,Metformin,BioCare,4971.2,40,198848,2644.11,1850.87,Low Risk,0,52,77,Low Risk,0,"West, Henderson And Ramirez",MR-18977-WW,30-05-25,397.00,Low Risk,0,Mobile Van,Syrup,2
28-04-24,"Snyder, Campos And Callahan",Urban,Paracetamol,BioCare,4181.4,58,242521.2,2636.16,1845.31,Low Risk,0,49,74,Low Risk,0,"Stanley, Tucker And Lee",LS-83481-LV,11-12-26,957.00,Low Risk,0,Market Stall,Tablet,1
28-04-24,"Snyder, Campos And Callahan",Rural,Ciprofloxacin,HealthFirst,4883.51,98,478583.98,2610.77,1827.54,Low Risk,0,51,76,High Risk,1,Walker Llc,JZ-52950-IF,17-03-27,1053.00,Low Risk,0,In-Store,Syrup,2
28-04-24,"Walter, Edwards And Rios",Urban,Coartem,HealthFirst,3364.31,85,285966.35,2523.47,1766.43,Low Risk,0,51,77,High Risk,1,Gomez-Jenkins,PY-31788-QY,22-02-26,665.00,Low Risk,0,Mobile Van,Capsule,4
28-04-24,Williams And Sons,Urban,Paracetamol,BioCare,3734.83,28,104575.24,2636.16,1845.31,Low Risk,0,49,74,Low Risk,0,Jones Inc,MP-79914-FG,05-08-26,829.00,Low Risk,0,In-Store,Syrup,2
28-04-24,Williams And Sons,Rural,Ibuprofen,HealthFirst,1447.56,53,76720.68,2543.53,1780.47,High Risk,1,49,73,Low Risk,0,Morton-Chase,DX-37363-RW,02-05-26,734.00,Low Risk,0,Mobile Van,Tablet,1
28-04-24,Williams And Sons,Urban,Ibuprofen,PharmaTrust,4331.76,10,43317.6,2543.53,1780.47,Low Risk,0,49,73,Low Risk,0,Henderson-Bernard,AS-01826-ZL,13-06-25,411.00,Low Risk,0,Mobile Van,Tablet,1
29-04-24,Abbott-Munoz,Urban,Coartem,PharmaTrust,4016.43,10,40164.3,2523.47,1766.43,Low Risk,0,51,77,Low Risk,0,"Johnston, Sanchez And Kennedy",IZ-81996-VQ,27-11-25,577.00,Low Risk,0,Market Stall,Injection,3
29-04-24,Abbott-Munoz,Urban,Chloroquine,MediPlus,4048.34,35,141691.9,2656.70,1859.69,Low Risk,0,51,77,Low Risk,0,Gomez-Jenkins,EV-22295-IV,09-02-26,651.00,Low Risk,0,Market Stall,Capsule,4
29-04-24,"Adams, Zuniga And Wong",Urban,Metformin,HealthFirst,305.97,76,23253.72,2644.11,1850.87,High Risk,1,52,77,Low Risk,0,Jones Inc,CG-47587-IY,24-11-26,939.00,Low Risk,0,Mobile Van,Tablet,1
29-04-24,Baker And Sons,Urban,Paracetamol,FarmaTrust,1063.44,50,53172,2636.16,1845.31,High Risk,1,49,74,Low Risk,0,House-Glover,ZJ-54352-YI,17-11-26,932.00,Low Risk,0,Mobile Van,Syrup,2
29-04-24,Blair Plc,Rural,Metformin,BioCare,489.2,44,21524.8,2644.11,1850.87,High Risk,1,52,77,Low Risk,0,"Robinson, Jones And Welch",UN-12669-MD,22-05-25,388.00,Low Risk,0,In-Store,Capsule,4
